IdArticulo,Lista,Motivo
373,ESPECIAL,Producto no encontrado
374,ESPECIAL,Producto no encontrado
375,ESPECIAL,Producto no encontrado
376,ESPECIAL,Producto no encontrado
377,ESPECIAL,Producto no encontrado
378,ESPECIAL,Producto no encontrado
379,ESPECIAL,Producto no encontrado
380,ESPECIAL,Producto no encontrado
381,ESPECIAL,Producto no encontrado
382,ESPECIAL,Producto no encontrado
383,ESPECIAL,Producto no encontrado
384,ESPECIAL,Producto no encontrado
385,ESPECIAL,Producto no encontrado
386,ESPECIAL,Producto no encontrado
387,ESPECIAL,Producto no encontrado
388,ESPECIAL,Producto no encontrado
393,ESPECIAL,Producto no encontrado
397,ESPECIAL,Producto no encontrado
399,ESPECIAL,Producto no encontrado
400,ESPECIAL,Producto no encontrado
401,ESPECIAL,Producto no encontrado
402,ESPECIAL,Producto no encontrado
403,ESPECIAL,Producto no encontrado
404,ESPECIAL,Producto no encontrado
405,ESPECIAL,Producto no encontrado
406,ESPECIAL,Producto no encontrado
407,ESPECIAL,Producto no encontrado
408,ESPECIAL,Producto no encontrado
409,ESPECIAL,Producto no encontrado
410,ESPECIAL,Producto no encontrado
411,ESPECIAL,Producto no encontrado
412,ESPECIAL,Producto no encontrado
413,ESPECIAL,Producto no encontrado
414,ESPECIAL,Producto no encontrado
415,ESPECIAL,Producto no encontrado
416,ESPECIAL,Producto no encontrado
417,ESPECIAL,Producto no encontrado
418,ESPECIAL,Producto no encontrado
419,ESPECIAL,Producto no encontrado
420,ESPECIAL,Producto no encontrado
421,ESPECIAL,Producto no encontrado
422,ESPECIAL,Producto no encontrado
423,ESPECIAL,Producto no encontrado
424,ESPECIAL,Producto no encontrado
425,ESPECIAL,Producto no encontrado
426,ESPECIAL,Producto no encontrado
427,ESPECIAL,Producto no encontrado
428,ESPECIAL,Producto no encontrado
429,ESPECIAL,Producto no encontrado
430,ESPECIAL,Producto no encontrado
431,ESPECIAL,Producto no encontrado
432,ESPECIAL,Producto no encontrado
433,ESPECIAL,Producto no encontrado
434,ESPECIAL,Producto no encontrado
435,ESPECIAL,Producto no encontrado
436,ESPECIAL,Producto no encontrado
437,ESPECIAL,Producto no encontrado
438,ESPECIAL,Producto no encontrado
439,ESPECIAL,Producto no encontrado
440,ESPECIAL,Producto no encontrado
441,ESPECIAL,Producto no encontrado
442,ESPECIAL,Producto no encontrado
443,ESPECIAL,Producto no encontrado
444,ESPECIAL,Producto no encontrado
445,ESPECIAL,Producto no encontrado
446,ESPECIAL,Producto no encontrado
447,ESPECIAL,Producto no encontrado
448,ESPECIAL,Producto no encontrado
449,ESPECIAL,Producto no encontrado
450,ESPECIAL,Producto no encontrado
451,ESPECIAL,Producto no encontrado
452,ESPECIAL,Producto no encontrado
453,ESPECIAL,Producto no encontrado
454,ESPECIAL,Producto no encontrado
455,ESPECIAL,Producto no encontrado
456,ESPECIAL,Producto no encontrado
457,ESPECIAL,Producto no encontrado
458,ESPECIAL,Producto no encontrado
459,ESPECIAL,Producto no encontrado
460,ESPECIAL,Producto no encontrado
461,ESPECIAL,Producto no encontrado
462,ESPECIAL,Producto no encontrado
463,ESPECIAL,Producto no encontrado
464,ESPECIAL,Producto no encontrado
465,ESPECIAL,Producto no encontrado
466,ESPECIAL,Producto no encontrado
467,ESPECIAL,Producto no encontrado
468,ESPECIAL,Producto no encontrado
469,ESPECIAL,Producto no encontrado
470,ESPECIAL,Producto no encontrado
471,ESPECIAL,Producto no encontrado
472,ESPECIAL,Producto no encontrado
473,ESPECIAL,Producto no encontrado
474,ESPECIAL,Producto no encontrado
475,ESPECIAL,Producto no encontrado
476,ESPECIAL,Producto no encontrado
477,ESPECIAL,Producto no encontrado
478,ESPECIAL,Producto no encontrado
479,ESPECIAL,Producto no encontrado
480,ESPECIAL,Producto no encontrado
481,ESPECIAL,Producto no encontrado
482,ESPECIAL,Producto no encontrado
483,ESPECIAL,Producto no encontrado
484,ESPECIAL,Producto no encontrado
485,ESPECIAL,Producto no encontrado
486,ESPECIAL,Producto no encontrado
487,ESPECIAL,Producto no encontrado
488,ESPECIAL,Producto no encontrado
489,ESPECIAL,Producto no encontrado
490,ESPECIAL,Producto no encontrado
491,ESPECIAL,Producto no encontrado
492,ESPECIAL,Producto no encontrado
493,ESPECIAL,Producto no encontrado
494,ESPECIAL,Producto no encontrado
495,ESPECIAL,Producto no encontrado
496,ESPECIAL,Producto no encontrado
497,ESPECIAL,Producto no encontrado
498,ESPECIAL,Producto no encontrado
499,ESPECIAL,Producto no encontrado
502,ESPECIAL,Producto no encontrado
503,ESPECIAL,Producto no encontrado
504,ESPECIAL,Producto no encontrado
505,ESPECIAL,Producto no encontrado
506,ESPECIAL,Producto no encontrado
507,ESPECIAL,Producto no encontrado
508,ESPECIAL,Producto no encontrado
509,ESPECIAL,Producto no encontrado
510,ESPECIAL,Producto no encontrado
512,ESPECIAL,Producto no encontrado
513,ESPECIAL,Producto no encontrado
523,ESPECIAL,Producto no encontrado
524,ESPECIAL,Producto no encontrado
525,ESPECIAL,Producto no encontrado
526,ESPECIAL,Producto no encontrado
527,ESPECIAL,Producto no encontrado
528,ESPECIAL,Producto no encontrado
529,ESPECIAL,Producto no encontrado
530,ESPECIAL,Producto no encontrado
531,ESPECIAL,Producto no encontrado
532,ESPECIAL,Producto no encontrado
533,ESPECIAL,Producto no encontrado
534,ESPECIAL,Producto no encontrado
535,ESPECIAL,Producto no encontrado
536,ESPECIAL,Producto no encontrado
537,ESPECIAL,Producto no encontrado
538,ESPECIAL,Producto no encontrado
544,ESPECIAL,Producto no encontrado
545,ESPECIAL,Producto no encontrado
546,ESPECIAL,Producto no encontrado
547,ESPECIAL,Producto no encontrado
548,ESPECIAL,Producto no encontrado
549,ESPECIAL,Producto no encontrado
550,ESPECIAL,Producto no encontrado
551,ESPECIAL,Producto no encontrado
552,ESPECIAL,Producto no encontrado
553,ESPECIAL,Producto no encontrado
554,ESPECIAL,Producto no encontrado
555,ESPECIAL,Producto no encontrado
556,ESPECIAL,Producto no encontrado
557,ESPECIAL,Producto no encontrado
558,ESPECIAL,Producto no encontrado
559,ESPECIAL,Producto no encontrado
561,ESPECIAL,Producto no encontrado
562,ESPECIAL,Producto no encontrado
563,ESPECIAL,Producto no encontrado
564,ESPECIAL,Producto no encontrado
565,ESPECIAL,Producto no encontrado
566,ESPECIAL,Producto no encontrado
567,ESPECIAL,Producto no encontrado
568,ESPECIAL,Producto no encontrado
569,ESPECIAL,Producto no encontrado
571,ESPECIAL,Producto no encontrado
572,ESPECIAL,Producto no encontrado
573,ESPECIAL,Producto no encontrado
574,ESPECIAL,Producto no encontrado
575,ESPECIAL,Producto no encontrado
576,ESPECIAL,Producto no encontrado
577,ESPECIAL,Producto no encontrado
578,ESPECIAL,Producto no encontrado
579,ESPECIAL,Producto no encontrado
580,ESPECIAL,Producto no encontrado
581,ESPECIAL,Producto no encontrado
582,ESPECIAL,Producto no encontrado
583,ESPECIAL,Producto no encontrado
584,ESPECIAL,Producto no encontrado
585,ESPECIAL,Producto no encontrado
586,ESPECIAL,Producto no encontrado
587,ESPECIAL,Producto no encontrado
588,ESPECIAL,Producto no encontrado
589,ESPECIAL,Producto no encontrado
590,ESPECIAL,Producto no encontrado
591,ESPECIAL,Producto no encontrado
592,ESPECIAL,Producto no encontrado
593,ESPECIAL,Producto no encontrado
594,ESPECIAL,Producto no encontrado
595,ESPECIAL,Producto no encontrado
596,ESPECIAL,Producto no encontrado
597,ESPECIAL,Producto no encontrado
598,ESPECIAL,Producto no encontrado
599,ESPECIAL,Producto no encontrado
600,ESPECIAL,Producto no encontrado
601,ESPECIAL,Producto no encontrado
602,ESPECIAL,Producto no encontrado
603,ESPECIAL,Producto no encontrado
604,ESPECIAL,Producto no encontrado
605,ESPECIAL,Producto no encontrado
606,ESPECIAL,Producto no encontrado
607,ESPECIAL,Producto no encontrado
608,ESPECIAL,Producto no encontrado
609,ESPECIAL,Producto no encontrado
610,ESPECIAL,Producto no encontrado
611,ESPECIAL,Producto no encontrado
612,ESPECIAL,Producto no encontrado
613,ESPECIAL,Producto no encontrado
614,ESPECIAL,Producto no encontrado
615,ESPECIAL,Producto no encontrado
616,ESPECIAL,Producto no encontrado
617,ESPECIAL,Producto no encontrado
618,ESPECIAL,Producto no encontrado
619,ESPECIAL,Producto no encontrado
620,ESPECIAL,Producto no encontrado
621,ESPECIAL,Producto no encontrado
622,ESPECIAL,Producto no encontrado
625,ESPECIAL,Producto no encontrado
626,ESPECIAL,Producto no encontrado
627,ESPECIAL,Producto no encontrado
628,ESPECIAL,Producto no encontrado
629,ESPECIAL,Producto no encontrado
630,ESPECIAL,Producto no encontrado
631,ESPECIAL,Producto no encontrado
632,ESPECIAL,Producto no encontrado
633,ESPECIAL,Producto no encontrado
634,ESPECIAL,Producto no encontrado
635,ESPECIAL,Producto no encontrado
