IdArticulo,NombreLista,Motivo
1763,Consumidor Final X,Producto no encontrado en Odoo
1764,Consumidor Final X,Producto no encontrado en Odoo
1765,Consumidor Final X,Producto no encontrado en Odoo
1781,Consumidor Final X,Producto no encontrado en Odoo
1791,Consumidor Final X,Producto no encontrado en Odoo
1801,Consumidor Final X,Producto no encontrado en Odoo
1802,Consumidor Final X,Producto no encontrado en Odoo
1803,Consumidor Final X,Producto no encontrado en Odoo
1804,Consumidor Final X,Producto no encontrado en Odoo
1805,Consumidor Final X,Producto no encontrado en Odoo
1806,Consumidor Final X,Producto no encontrado en Odoo
1811,Consumidor Final X,Producto no encontrado en Odoo
1812,Consumidor Final X,Producto no encontrado en Odoo
1821,Consumidor Final X,Producto no encontrado en Odoo
1822,Consumidor Final X,Producto no encontrado en Odoo
1902,Consumidor Final X,Producto no encontrado en Odoo
1903,Consumidor Final X,Producto no encontrado en Odoo
1965,Consumidor Final X,Producto no encontrado en Odoo
1966,Consumidor Final X,Producto no encontrado en Odoo
1969,Consumidor Final X,Producto no encontrado en Odoo
1980,Consumidor Final X,Producto no encontrado en Odoo
1981,Consumidor Final X,Producto no encontrado en Odoo
1990,Consumidor Final X,Producto no encontrado en Odoo
1992,Consumidor Final X,Producto no encontrado en Odoo
2331,Consumidor Final X,Producto no encontrado en Odoo
2332,Consumidor Final X,Producto no encontrado en Odoo
2341,Consumidor Final X,Producto no encontrado en Odoo
2351,Consumidor Final X,Producto no encontrado en Odoo
2352,Consumidor Final X,Producto no encontrado en Odoo
2371,Consumidor Final X,Producto no encontrado en Odoo
2482,Consumidor Final X,Producto no encontrado en Odoo
2492,Consumidor Final X,Producto no encontrado en Odoo
2502,Consumidor Final X,Producto no encontrado en Odoo
2552,Consumidor Final X,Producto no encontrado en Odoo
2562,Consumidor Final X,Producto no encontrado en Odoo
2572,Consumidor Final X,Producto no encontrado en Odoo
2582,Consumidor Final X,Producto no encontrado en Odoo
2592,Consumidor Final X,Producto no encontrado en Odoo
2602,Consumidor Final X,Producto no encontrado en Odoo
2622,Consumidor Final X,Producto no encontrado en Odoo
2623,Consumidor Final X,Producto no encontrado en Odoo
2672,Consumidor Final X,Producto no encontrado en Odoo
2702,Consumidor Final X,Producto no encontrado en Odoo
2751,Consumidor Final X,Producto no encontrado en Odoo
2922,Consumidor Final X,Producto no encontrado en Odoo
2952,Consumidor Final X,Producto no encontrado en Odoo
2961,Consumidor Final X,Producto no encontrado en Odoo
3058,Consumidor Final X,Producto no encontrado en Odoo
3064,Consumidor Final X,Producto no encontrado en Odoo
3072,Consumidor Final X,Producto no encontrado en Odoo
3073,Consumidor Final X,Producto no encontrado en Odoo
3211,Consumidor Final X,Producto no encontrado en Odoo
3344,Consumidor Final X,Producto no encontrado en Odoo
3345,Consumidor Final X,Producto no encontrado en Odoo
3481,Consumidor Final X,Producto no encontrado en Odoo
4301,Consumidor Final X,Producto no encontrado en Odoo
4518,Consumidor Final X,Producto no encontrado en Odoo
4560,Consumidor Final X,Producto no encontrado en Odoo
4566,Consumidor Final X,Producto no encontrado en Odoo
4570,Consumidor Final X,Producto no encontrado en Odoo
4591,Consumidor Final X,Producto no encontrado en Odoo
4685,Consumidor Final X,Producto no encontrado en Odoo
4711,Consumidor Final X,Producto no encontrado en Odoo
4731,Consumidor Final X,Producto no encontrado en Odoo
5012,Consumidor Final X,Producto no encontrado en Odoo
5013,Consumidor Final X,Producto no encontrado en Odoo
5014,Consumidor Final X,Producto no encontrado en Odoo
5015,Consumidor Final X,Producto no encontrado en Odoo
5016,Consumidor Final X,Producto no encontrado en Odoo
5017,Consumidor Final X,Producto no encontrado en Odoo
5018,Consumidor Final X,Producto no encontrado en Odoo
5033,Consumidor Final X,Producto no encontrado en Odoo
5034,Consumidor Final X,Producto no encontrado en Odoo
5035,Consumidor Final X,Producto no encontrado en Odoo
5043,Consumidor Final X,Producto no encontrado en Odoo
5044,Consumidor Final X,Producto no encontrado en Odoo
5052,Consumidor Final X,Producto no encontrado en Odoo
5055,Consumidor Final X,Producto no encontrado en Odoo
5061,Consumidor Final X,Producto no encontrado en Odoo
5062,Consumidor Final X,Producto no encontrado en Odoo
5081,Consumidor Final X,Producto no encontrado en Odoo
5093,Consumidor Final X,Producto no encontrado en Odoo
5115,Consumidor Final X,Producto no encontrado en Odoo
5116,Consumidor Final X,Producto no encontrado en Odoo
5141,Consumidor Final X,Producto no encontrado en Odoo
5178,Consumidor Final X,Producto no encontrado en Odoo
5189,Consumidor Final X,Producto no encontrado en Odoo
5213,Consumidor Final X,Producto no encontrado en Odoo
5214,Consumidor Final X,Producto no encontrado en Odoo
5215,Consumidor Final X,Producto no encontrado en Odoo
5221,Consumidor Final X,Producto no encontrado en Odoo
5231,Consumidor Final X,Producto no encontrado en Odoo
5241,Consumidor Final X,Producto no encontrado en Odoo
5333,Consumidor Final X,Producto no encontrado en Odoo
5346,Consumidor Final X,Producto no encontrado en Odoo
5375,Consumidor Final X,Producto no encontrado en Odoo
5376,Consumidor Final X,Producto no encontrado en Odoo
5377,Consumidor Final X,Producto no encontrado en Odoo
5410,Consumidor Final X,Producto no encontrado en Odoo
5421,Consumidor Final X,Producto no encontrado en Odoo
5429,Consumidor Final X,Producto no encontrado en Odoo
5531,Consumidor Final X,Producto no encontrado en Odoo
5532,Consumidor Final X,Producto no encontrado en Odoo
5533,Consumidor Final X,Producto no encontrado en Odoo
5702,Consumidor Final X,Producto no encontrado en Odoo
5731,Consumidor Final X,Producto no encontrado en Odoo
5891,Consumidor Final X,Producto no encontrado en Odoo
5911,Consumidor Final X,Producto no encontrado en Odoo
5931,Consumidor Final X,Producto no encontrado en Odoo
5942,Consumidor Final X,Producto no encontrado en Odoo
5951,Consumidor Final X,Producto no encontrado en Odoo
5971,Consumidor Final X,Producto no encontrado en Odoo
5972,Consumidor Final X,Producto no encontrado en Odoo
6001,Consumidor Final X,Producto no encontrado en Odoo
6005,Consumidor Final X,Producto no encontrado en Odoo
6008,Consumidor Final X,Producto no encontrado en Odoo
6009,Consumidor Final X,Producto no encontrado en Odoo
6011,Consumidor Final X,Producto no encontrado en Odoo
6012,Consumidor Final X,Producto no encontrado en Odoo
6020,Consumidor Final X,Producto no encontrado en Odoo
6301,Consumidor Final X,Producto no encontrado en Odoo
6304,Consumidor Final X,Producto no encontrado en Odoo
6361,Consumidor Final X,Producto no encontrado en Odoo
6382,Consumidor Final X,Producto no encontrado en Odoo
6400,Consumidor Final X,Producto no encontrado en Odoo
6401,Consumidor Final X,Producto no encontrado en Odoo
6402,Consumidor Final X,Producto no encontrado en Odoo
6403,Consumidor Final X,Producto no encontrado en Odoo
6404,Consumidor Final X,Producto no encontrado en Odoo
6405,Consumidor Final X,Producto no encontrado en Odoo
6406,Consumidor Final X,Producto no encontrado en Odoo
6407,Consumidor Final X,Producto no encontrado en Odoo
